product_id,product_name,category_id,category_name,price,brand,product_status
P000044,臻选食品饮料日常款,C02,食品饮料,28,优选,active
P000045,云感食品饮料套装,C02,食品饮料,67,云野,active
P000046,原野食品饮料旗舰款,C02,食品饮料,69,山川,active
P000047,轻盈服饰便携装,C03,服饰,154,小满,active
P000048,轻氧宠物用品升级版,C08,宠物用品,142,优选,active
P000049,悦活数码配件日常款,C05,数码配件,141,拾光,active
P000050,臻选生鲜套装,C09,生鲜,108,森屿,active
P000051,云感宠物用品旗舰款,C08,宠物用品,64,小满,active
P000052,原野数码配件便携装,C05,数码配件,173,山川,active
P000053,轻盈服饰升级版,C03,服饰,262,拾光,active
P000054,轻氧美妆个护日常款,C01,美妆个护,138,山川,active
P000055,悦活宠物用品套装,C08,宠物用品,100,小满,active
P000056,臻选旅行用品旗舰款,C10,旅行用品,443,清欢,active
P000057,云感数码配件便携装,C05,数码配件,79,云野,active
P000058,原野生鲜升级版,C09,生鲜,44,清欢,active
P000059,轻盈美妆个护日常款,C01,美妆个护,52,山川,active
P000060,轻氧数码配件套装,C05,数码配件,269,小满,active
P000061,悦活家居日用旗舰款,C04,家居日用,157,山川,active
P000062,臻选旅行用品便携装,C10,旅行用品,226,拾光,active
P000063,云感母婴用品升级版,C06,母婴用品,165,山川,active
P000064,原野宠物用品日常款,C08,宠物用品,140,小满,active
P000065,轻盈生鲜套装,C09,生鲜,41,小满,active
P000066,轻氧母婴用品旗舰款,C06,母婴用品,76,拾光,active
P000067,悦活旅行用品便携装,C10,旅行用品,195,森屿,active
P000068,臻选旅行用品升级版,C10,旅行用品,202,森屿,active
P000069,云感运动户外日常款,C07,运动户外,268,小满,active
P000070,原野宠物用品套装,C08,宠物用品,147,清欢,active
P000071,轻盈宠物用品旗舰款,C08,宠物用品,144,小满,active
P000072,轻氧美妆个护便携装,C01,美妆个护,122,云野,active
P000073,悦活家居日用升级版,C04,家居日用,147,云野,active
P000074,臻选美妆个护日常款,C01,美妆个护,71,拾光,active
P000075,云感母婴用品套装,C06,母婴用品,82,拾光,active
P000076,原野美妆个护旗舰款,C01,美妆个护,77,优选,active
P000077,轻盈服饰便携装,C03,服饰,279,云野,active
P000078,轻氧运动户外升级版,C07,运动户外,332,拾光,active
P000079,悦活服饰日常款,C03,服饰,452,山川,active
P000080,臻选家居日用套装,C04,家居日用,148,云野,active
P000081,云感数码配件旗舰款,C05,数码配件,152,森屿,active
P000082,原野旅行用品便携装,C10,旅行用品,253,云野,active
P000083,轻盈运动户外升级版,C07,运动户外,227,优选,active
P000084,轻氧服饰日常款,C03,服饰,130,山川,active
P000085,悦活家居日用套装,C04,家居日用,70,森屿,active
P000086,臻选数码配件旗舰款,C05,数码配件,150,小满,active
P000087,云感旅行用品便携装,C10,旅行用品,609,清欢,active
P000088,原野家居日用升级版,C04,家居日用,89,山川,active
P000089,轻盈美妆个护日常款,C01,美妆个护,69,优选,active
P000090,轻氧旅行用品套装,C10,旅行用品,170,小满,active
P000091,悦活母婴用品旗舰款,C06,母婴用品,87,云野,active
P000092,臻选服饰便携装,C03,服饰,291,拾光,active
P000093,云感生鲜升级版,C09,生鲜,39,小满,active
P000094,原野运动户外日常款,C07,运动户外,136,山川,active
P000095,轻盈旅行用品套装,C10,旅行用品,577,云野,active
P000096,轻氧数码配件旗舰款,C05,数码配件,88,小满,active
P000097,悦活母婴用品便携装,C06,母婴用品,123,优选,active
P000098,臻选家居日用升级版,C04,家居日用,90,小满,active
P000099,云感服饰日常款,C03,服饰,230,云野,active
P000100,原野运动户外套装,C07,运动户外,235,云野,active
P000101,轻盈生鲜旗舰款,C09,生鲜,111,小满,active
P000102,轻氧母婴用品便携装,C06,母婴用品,104,清欢,active
P000103,悦活美妆个护升级版,C01,美妆个护,76,清欢,active
P000104,臻选旅行用品日常款,C10,旅行用品,352,森屿,active
P000105,云感运动户外套装,C07,运动户外,142,森屿,active
P000106,原野母婴用品旗舰款,C06,母婴用品,102,山川,active
P000107,轻盈运动户外便携装,C07,运动户外,176,山川,active
P000108,轻氧母婴用品升级版,C06,母婴用品,86,森屿,active
P000109,悦活旅行用品日常款,C10,旅行用品,614,优选,active
P000110,臻选美妆个护套装,C01,美妆个护,81,云野,active
P000111,云感宠物用品旗舰款,C08,宠物用品,117,清欢,active
P000112,原野生鲜便携装,C09,生鲜,113,优选,active
P000113,轻盈旅行用品升级版,C10,旅行用品,483,拾光,active
P000114,轻氧母婴用品日常款,C06,母婴用品,142,清欢,active
P000115,悦活美妆个护套装,C01,美妆个护,86,山川,active
P000116,臻选数码配件旗舰款,C05,数码配件,228,拾光,active
P000117,云感食品饮料便携装,C02,食品饮料,54,云野,active
P000118,原野美妆个护升级版,C01,美妆个护,133,拾光,active
P000119,轻盈宠物用品日常款,C08,宠物用品,99,小满,active
P000120,轻氧宠物用品套装,C08,宠物用品,58,小满,active
P000121,悦活运动户外旗舰款,C07,运动户外,291,森屿,active
P000122,臻选运动户外便携装,C07,运动户外,212,云野,active
P000123,云感宠物用品升级版,C08,宠物用品,83,拾光,active
P000124,原野食品饮料日常款,C02,食品饮料,60,森屿,active
P000125,轻盈生鲜套装,C09,生鲜,62,小满,active
P000126,轻氧旅行用品旗舰款,C10,旅行用品,248,小满,active
P000127,悦活食品饮料便携装,C02,食品饮料,39,优选,active
P000128,臻选旅行用品升级版,C10,旅行用品,514,拾光,active
P000129,云感服饰日常款,C03,服饰,307,小满,active
P000130,原野服饰套装,C03,服饰,194,云野,active
P000131,轻盈生鲜旗舰款,C09,生鲜,85,山川,active
P000132,轻氧家居日用便携装,C04,家居日用,91,山川,active
P000133,悦活美妆个护升级版,C01,美妆个护,47,山川,active
P000134,臻选数码配件日常款,C05,数码配件,120,清欢,active
P000135,云感数码配件套装,C05,数码配件,182,山川,active
P000136,原野运动户外旗舰款,C07,运动户外,169,山川,active
P000137,轻盈数码配件便携装,C05,数码配件,216,优选,active
P000138,轻氧数码配件升级版,C05,数码配件,150,拾光,active
P000139,悦活运动户外日常款,C07,运动户外,358,云野,active
P000140,臻选食品饮料套装,C02,食品饮料,71,云野,active
P000141,云感数码配件旗舰款,C05,数码配件,220,拾光,active
P000142,原野母婴用品便携装,C06,母婴用品,161,清欢,active
P000143,轻盈美妆个护升级版,C01,美妆个护,53,山川,active
P000144,轻氧美妆个护日常款,C01,美妆个护,118,森屿,active
P000145,悦活宠物用品套装,C08,宠物用品,42,清欢,active
P000146,臻选生鲜旗舰款,C09,生鲜,112,山川,active
P000147,云感数码配件便携装,C05,数码配件,281,小满,active
P000148,原野数码配件升级版,C05,数码配件,136,优选,active
P000149,轻盈家居日用日常款,C04,家居日用,110,云野,active
P000150,轻氧母婴用品套装,C06,母婴用品,76,小满,active
P000151,悦活美妆个护旗舰款,C01,美妆个护,38,小满,active
P000152,臻选数码配件便携装,C05,数码配件,302,森屿,active
P000153,云感美妆个护升级版,C01,美妆个护,48,云野,active
P000154,原野生鲜日常款,C09,生鲜,103,小满,active
P000155,轻盈生鲜套装,C09,生鲜,106,森屿,active
P000156,轻氧母婴用品旗舰款,C06,母婴用品,153,山川,active
P000157,悦活旅行用品便携装,C10,旅行用品,436,山川,active
P000158,臻选母婴用品升级版,C06,母婴用品,121,小满,active
P000159,云感旅行用品日常款,C10,旅行用品,514,山川,active
P000160,原野旅行用品套装,C10,旅行用品,231,森屿,active
P000161,轻盈家居日用旗舰款,C04,家居日用,160,山川,active
P000162,轻氧食品饮料便携装,C02,食品饮料,73,小满,active
P000163,悦活生鲜升级版,C09,生鲜,69,森屿,active
P000164,臻选食品饮料日常款,C02,食品饮料,73,拾光,active
P000165,云感生鲜套装,C09,生鲜,43,云野,active
P000166,原野服饰旗舰款,C03,服饰,378,森屿,active
P000167,轻盈美妆个护便携装,C01,美妆个护,119,森屿,active
P000168,轻氧服饰升级版,C03,服饰,368,拾光,active
P000169,悦活生鲜日常款,C09,生鲜,42,清欢,active
P000170,臻选生鲜套装,C09,生鲜,77,小满,active
P000171,云感生鲜旗舰款,C09,生鲜,30,拾光,active
P000172,原野宠物用品便携装,C08,宠物用品,99,小满,active
P000173,轻盈家居日用升级版,C04,家居日用,86,优选,inactive
P000174,轻氧宠物用品日常款,C08,宠物用品,115,森屿,inactive
P000175,悦活服饰套装,C03,服饰,131,优选,inactive
P000176,臻选母婴用品旗舰款,C06,母婴用品,154,清欢,inactive
P000177,云感数码配件便携装,C05,数码配件,293,拾光,inactive
P000178,原野生鲜升级版,C09,生鲜,89,拾光,inactive
P000179,轻盈食品饮料日常款,C02,食品饮料,53,山川,inactive
P000180,轻氧食品饮料套装,C02,食品饮料,79,小满,inactive
